nitrogenio,fosforo,potassio,umidade,ph,plantio
90,42,43,82.00274423,6.502985292,Rice
85,58,41,80.31964408,7.038096361,Rice
60,55,44,82.3207629,7.840207144,Rice
74,35,40,80.15836264,6.980400905,Rice
78,42,42,81.60487287,7.628472891,Rice
69,37,42,83.37011772,7.073453503,Rice
69,55,38,82.63941394,5.70080568,Rice
94,53,40,82.89408619,5.718627178,Rice
89,54,38,83.5352163,6.685346424,Rice
68,58,38,83.03322691,6.336253525,Rice
91,53,40,81.41753846,5.386167788,Rice
90,46,42,81.45061596,7.50283396,Rice
78,58,44,80.88684822,5.108681786,Rice
93,56,36,82.05687182,6.98435366,Rice
94,50,37,80.66385045,6.94801983,Rice
60,48,39,80.30025587,7.042299069,Rice
85,38,41,82.7883708,6.249050656,Rice
91,35,39,80.41817957,6.970859754,Rice
77,38,36,80.1923008,5.953933276,Rice
88,35,40,83.58760316,5.85393208,Rice
89,45,36,80.47476396,6.442475375,Rice
76,40,43,83.11713476,5.070175667,Rice
67,59,41,80.97384195,6.012632591,Rice
83,41,43,82.67839517,6.254028451,Rice
98,47,37,81.33265073,7.375482851,Rice
66,53,41,80.52389148,7.778915154,Rice
97,59,43,84.04403589,6.286500176,Rice
97,50,41,80.54498576,7.070959995,Rice
60,49,44,84.49774397,6.244841491,Rice
84,51,35,80.64416466,6.043304899,Rice
73,57,41,84.94375962,5.824709117,Rice
92,35,40,80.33127223,6.357389366,Rice
85,37,39,82.73685569,6.364134968,Rice
98,53,38,81.63895217,5.01450727,Rice
88,54,44,83.88266234,6.149410611,Rice
95,55,42,82.1480873,5.950660556,Rice
99,57,35,81.17734011,5.960370061,Rice
95,39,36,83.15250801,5.561398642,Rice
60,43,44,82.95221726,7.416245107,Rice
63,44,41,83.7287574,5.583370042,Rice
62,42,36,82.06719137,6.430010215,Rice
64,45,43,83.52842314,5.534878156,Rice
83,60,36,80.14509262,6.903985986,Rice
82,40,40,84.81360127,6.271478838,Rice
85,52,45,82.36698992,7.224285503,Rice
91,35,38,80.52586088,6.13428721,Rice
76,49,42,84.47963372,5.206373153,Rice
74,39,38,84.59201843,7.782051313,Rice
79,43,39,80.70960551,7.062779015,Rice
88,55,45,80.41363018,7.730367824,Rice
60,36,43,83.06310136,5.286203711,Rice
76,60,39,80.3477562,6.766240045,Rice
93,56,42,82.22572988,7.382762603,Rice
65,60,43,81.89918197,5.658169482,Rice
95,52,36,83.83625819,5.543360238,Rice
75,38,39,84.79352417,6.215109715,Rice
74,54,38,83.47021081,7.120272972,Rice
91,36,45,82.45432595,5.950647577,Rice
71,46,40,82.1235421,7.236705436,Rice
99,55,35,80.2389895,6.501697816,Rice
72,40,38,82.20802629,7.592490617,Rice
83,58,45,83.51827127,5.875345751,Rice
93,58,38,83.77345559,6.932400225,Rice
70,36,42,80.72886384,6.946209881,Rice
76,47,42,83.29114712,5.739175027,Rice
99,41,36,82.74835604,6.738652179,Rice
99,54,37,80.33502926,5.594819626,Rice
86,59,35,82.11124033,6.946636369,Rice
69,46,41,80.28597873,5.012139669,Rice
91,56,37,80.56887849,6.363472208,Rice
61,52,41,83.891805,6.880431223,Rice
67,45,38,82.1706881,7.300410836,Rice
79,42,37,82.84022551,6.587918708,Rice
78,43,42,83.00320459,7.283736617,Rice
75,54,36,84.56919326,7.023936392,Rice
97,36,45,81.85872947,6.939083505,Rice
67,47,44,81.78596776,7.868474653,Rice
73,35,38,81.97927117,5.005306977,Rice
77,36,37,81.46033732,6.136131869,Rice
81,41,38,83.72874389,7.524080076,Rice
68,57,43,80.37979919,5.706943251,Rice
72,45,35,82.94682591,5.758506323,Rice
61,53,43,81.05635517,6.349606327,Rice
67,43,39,84.96907151,5.999969026,Rice
67,58,39,80.54372813,5.453592032,Rice
66,60,38,83.47038318,6.372576327,Rice
82,43,38,81.43321641,5.105588355,Rice
84,50,44,81.40633547,5.935344406,Rice
81,53,42,81.03569343,5.17782304,Rice
91,50,40,84.1341879,6.462391607,Rice
93,53,38,81.91411159,7.069172227,Rice
90,44,38,83.88387074,7.473134377,Rice
81,45,35,80.12267476,6.158376967,Rice
78,40,38,83.85642678,7.549873681,Rice
60,51,36,82.81088865,6.028321558,Rice
88,46,42,83.46358271,6.604993475,Rice
93,47,37,82.14004101,6.500343222,Rice
60,55,45,83.3293191,5.935745417,Rice
78,35,44,84.67353597,7.072655622,Rice
65,37,40,83.59512273,5.333322606,Rice
71,54,16,63.69070564,5.749914421,Maize
61,44,17,71.57476937,6.931756558,Maize
80,43,16,71.59351368,6.657964753,Maize
73,58,21,57.68272924,6.596060648,Maize
61,38,20,62.69503871,5.970458434,Maize
68,41,16,57.80840636,6.158830619,Maize
93,41,17,66.50415474,6.047906679,Maize
89,60,19,66.6902901,5.913664501,Maize
76,44,17,62.5542482,5.855442401,Maize
67,60,25,66.78627406,5.750254943,Maize
70,44,19,73.4541537,5.852607099,Maize
90,49,21,68.3584573,6.472523287,Maize
62,52,16,58.84015925,6.967057762,Maize
92,44,16,65.76816093,6.082973754,Maize
66,54,21,60.2001687,5.919045532,Maize
63,58,22,55.28220433,6.204747653,Maize
70,47,17,70.4162444,6.600827017,Maize
61,41,17,65.26185135,6.021902237,Maize
66,53,19,60.1159381,6.033550195,Maize
74,55,19,62.89366992,6.28886807,Maize
77,57,21,73.80435276,6.550563823,Maize
99,50,15,71.09445342,5.573286437,Maize
74,56,22,66.65952796,6.829199275,Maize
83,45,21,58.75082029,5.716222912,Maize
100,48,16,67.22190688,5.54990242,Maize
79,51,16,68.49835977,6.586244581,Maize
94,39,18,57.48775781,5.893093135,Maize
75,49,15,71.50905983,5.918263801,Maize
78,48,22,63.10459626,5.588650585,Maize
87,54,20,63.4711755,6.576418207,Maize
87,35,25,63.1621551,6.178056304,Maize
63,43,19,55.53128131,6.641906353,Maize
84,57,25,67.99257471,6.489040367,Maize
64,35,23,61.89472002,5.680361038,Maize
60,46,22,65.61418761,6.625404348,Maize
98,44,21,74.089114,6.524478032,Maize
75,56,18,62.35750641,5.696205468,Maize
86,55,21,59.64024162,6.803931519,Maize
98,35,18,74.82913698,6.252797548,Maize
76,57,18,74.52600826,6.092725883,Maize
99,56,17,73.13112261,6.234330356,Maize
60,44,23,70.04556743,5.722579819,Maize
74,48,17,60.27766379,6.430616465,Maize
89,60,17,57.21025565,5.983952675,Maize
69,51,23,72.85462807,6.80163854,Maize
96,46,22,69.00128641,6.499936446,Maize
61,60,15,68.74248334,6.265564338,Maize
74,58,18,56.35606753,6.727303282,Maize
74,43,23,61.89082199,6.325235159,Maize
63,43,17,65.47050802,6.807487794,Maize
99,36,20,65.34583901,6.671085817,Maize
77,36,23,56.73426469,6.648725327,Maize
87,60,23,63.91281869,6.439071996,Maize
60,38,17,64.23580251,6.474476516,Maize
94,54,17,61.74427165,5.871647806,Maize
95,38,22,61.24500053,5.730617109,Maize
84,44,21,61.91044947,5.850439831,Maize
77,58,19,56.50768935,5.791649933,Maize
66,44,20,69.02298571,6.740000688,Maize
63,35,16,65.35549924,6.272417541,Maize
79,45,20,59.24537979,5.715208817,Maize
72,60,25,69.0276233,5.773454729,Maize
67,51,24,61.32026065,5.584171461,Maize
86,36,24,72.89187265,5.787268394,Maize
76,48,18,69.63481219,5.77597783,Maize
75,53,18,59.4375337,6.864793607,Maize
81,45,23,68.034493,6.192360003,Maize
73,45,21,73.58868502,6.636803223,Maize
71,35,24,59.52193158,5.826426917,Maize
96,54,22,61.33450447,6.960358276,Maize
99,39,18,68.30578978,6.11275104,Maize
62,48,20,60.47470519,6.708446922,Maize
86,37,16,59.21235483,5.561510732,Maize
94,50,19,73.62548442,5.873242491,Maize
76,39,24,55.64709899,6.995843776,Maize
77,52,17,65.7420046,5.714799723,Maize
74,39,23,65.77472881,6.78073637,Maize
81,49,20,60.61494304,5.513697923,Maize
63,42,21,72.33125523,5.798423908,Maize
99,38,21,71.59722446,6.352471866,Maize
90,52,25,69.36385721,6.822586546,Maize
68,40,19,66.20569924,6.655426355,Maize
60,57,24,61.55327249,6.121294041,Maize
71,52,18,55.97732754,5.790770203,Maize
61,59,17,59.24580604,6.47444292,Maize
88,38,15,65.92195844,6.455116637,Maize
65,60,22,72.52054555,6.606984086,Maize
78,37,22,63.31801994,6.330554389,Maize
78,58,15,67.816568,6.528631266,Maize
92,60,23,71.516474,5.721667141,Maize
79,59,17,63.73849998,6.644205485,Maize
91,55,15,72.61024172,6.376651091,Maize
76,51,18,71.96246617,6.247040422,Maize
87,48,25,61.37879671,6.656730008,Maize
71,60,22,59.37147589,6.2048017,Maize
90,57,24,72.80086137,6.158860284,Maize
67,35,22,63.24648023,6.385684214,Maize
60,54,19,62.49878458,6.417820493,Maize
83,58,23,59.66263104,6.381201909,Maize
83,57,19,70.74739256,6.877869005,Maize
40,72,77,16.98861173,7.485996067,ChickPea
23,72,84,17.13159126,6.920251378,ChickPea
39,58,85,15.40589717,5.996932037,ChickPea
22,72,85,15.65809214,6.391173589,ChickPea
36,67,77,19.56381041,7.152811172,ChickPea
32,73,81,15.40312102,5.988992796,ChickPea
58,70,84,16.60820843,6.231049028,ChickPea
59,70,84,18.74926979,7.550808267,ChickPea
42,62,75,18.90426935,7.010570541,ChickPea
28,74,81,18.30968112,8.753795334,ChickPea
58,66,79,19.33470387,8.718192847,ChickPea
43,66,79,15.22538951,7.976607593,ChickPea
58,63,81,14.69765308,6.515499549,ChickPea
23,62,85,19.5161216,8.490127142,ChickPea
27,62,77,14.71070537,6.576415562,ChickPea
28,72,84,19.18197264,6.481783043,ChickPea
50,56,76,19.8601304,7.966605025,ChickPea
39,71,84,16.39535215,8.140825437,ChickPea
25,78,76,15.7559405,7.228963452,ChickPea
31,70,77,14.32313811,6.492546046,ChickPea
26,80,83,16.14565756,7.528599957,ChickPea
25,68,77,15.11279612,7.701446446,ChickPea
31,78,76,14.99927489,8.519975748,ChickPea
60,68,83,18.43475844,6.620900869,ChickPea
59,62,83,19.22008229,8.104396058,ChickPea
22,67,78,14.42457525,6.204090835,ChickPea
36,65,80,16.67921616,6.051091339,ChickPea
59,60,84,18.66725565,7.690962338,ChickPea
54,77,85,17.0662427,7.829211144,ChickPea
43,68,81,17.93253975,6.761599706,ChickPea
28,76,82,14.25803981,6.654425315,ChickPea
42,79,85,15.82069268,6.129533877,ChickPea
32,60,83,19.44225438,8.829273328,ChickPea
22,78,76,19.09172907,8.621662982,ChickPea
31,79,75,16.1074793,8.204862075,ChickPea
28,58,81,16.54314829,6.18042747,ChickPea
57,58,77,17.58406365,7.978996755,ChickPea
49,55,78,16.17772668,7.863113671,ChickPea
46,76,77,19.68538502,6.967843048,ChickPea
54,61,77,15.21618225,6.206582193,ChickPea
38,60,76,17.80852431,8.868741443,ChickPea
59,55,79,16.89574311,8.766128654,ChickPea
36,76,75,16.63805158,8.736337905,ChickPea
57,68,81,17.30457712,8.081095263,ChickPea
35,66,81,15.77458129,6.138243973,ChickPea
35,64,78,14.27327988,7.496645259,ChickPea
52,60,79,18.23490739,8.380185271,ChickPea
27,76,83,14.92241479,6.289614016,ChickPea
57,60,84,17.26184541,6.586777189,ChickPea
52,68,78,16.96070581,6.89655198,ChickPea
43,79,79,18.98030507,7.806747656,ChickPea
44,74,85,19.63719995,7.150681303,ChickPea
24,55,78,15.15405941,6.64919573,ChickPea
29,77,75,15.48083156,7.778591618,ChickPea
20,60,78,14.70085967,6.358740355,ChickPea
56,67,78,16.71826572,8.255450758,ChickPea
37,66,85,18.91295403,6.456148474,ChickPea
49,71,76,17.63879418,6.613072145,ChickPea
59,69,80,17.86754927,8.165359297,ChickPea
20,79,77,16.02542689,7.64867466,ChickPea
24,56,85,17.41333199,6.545888558,ChickPea
51,72,75,14.99451145,7.104224797,ChickPea
57,73,85,14.72115044,7.358099622,ChickPea
22,64,82,17.17260319,6.4740245,ChickPea
52,73,79,18.74943955,7.840339389,ChickPea
29,75,75,18.71483156,7.064790365,ChickPea
44,59,78,19.85388984,7.599033472,ChickPea
41,69,82,16.63294455,6.715587232,ChickPea
52,56,85,14.44228303,6.81712422,ChickPea
34,76,80,15.84572566,7.985417393,ChickPea
42,74,83,14.2804191,7.545258424,ChickPea
34,71,79,15.85622899,7.728998197,ChickPea
27,73,79,15.83500655,7.354973451,ChickPea
30,70,79,19.96978871,7.313122235,ChickPea
57,57,75,18.25142068,7.785039076,ChickPea
27,79,82,17.54024066,6.307004923,ChickPea
32,71,85,14.44008871,6.403982316,ChickPea
31,76,82,17.85057083,7.599279991,ChickPea
33,75,84,18.72831993,7.217018459,ChickPea
47,80,77,16.42891834,7.561108006,ChickPea
54,62,80,16.39055394,7.489545074,ChickPea
47,79,78,14.76014523,6.609696734,ChickPea
35,57,83,17.44534641,7.476800943,ChickPea
53,73,77,18.09665739,7.325451279,ChickPea
45,61,78,16.06240074,6.489389282,ChickPea
37,78,79,14.82633099,7.786366322,ChickPea
30,75,81,16.80472243,6.408437886,ChickPea
37,55,82,18.02235902,8.423873703,ChickPea
53,65,76,16.41998269,8.719960893,ChickPea
22,60,85,14.74071856,7.811997977,ChickPea
60,61,78,19.83643308,6.317153205,ChickPea
42,67,77,15.9362937,7.114405288,ChickPea
39,76,76,15.57324389,8.135900726,ChickPea
35,63,76,17.60756635,7.714153038,ChickPea
30,65,82,15.27824066,7.103798069,ChickPea
57,56,78,18.75626255,8.861479668,ChickPea
48,65,78,14.33847406,7.861128148,ChickPea
36,56,83,19.76182946,7.4526709,ChickPea
40,58,75,14.77959596,7.168096055,ChickPea
49,69,82,15.36143547,7.26311855,ChickPea
13,60,25,20.59541693,5.68597166,KidneyBeans
25,70,16,18.90705639,5.759237003,KidneyBeans
31,55,22,21.33953114,5.873171894,KidneyBeans
40,64,16,24.24045875,5.926676985,KidneyBeans
2,61,20,23.02251117,5.95561668,KidneyBeans
26,65,22,18.77621951,5.949949081,KidneyBeans
17,57,21,20.31564139,5.789214289,KidneyBeans
26,80,18,23.3334788,5.581021521,KidneyBeans
17,59,17,23.42829938,5.689858133,KidneyBeans
27,59,22,23.20591245,5.794158504,KidneyBeans
28,58,24,18.28173015,5.748190463,KidneyBeans
25,57,19,19.87070659,5.566522896,KidneyBeans
28,80,17,18.67170854,5.809419584,KidneyBeans
25,60,22,21.17919701,5.887263027,KidneyBeans
12,78,23,18.72479695,5.99812453,KidneyBeans
6,77,25,24.36314135,5.792744849,KidneyBeans
22,79,17,20.39659714,5.912289889,KidneyBeans
27,80,15,21.21092266,5.788386951,KidneyBeans
10,55,23,19.63438599,5.728233081,KidneyBeans
23,65,20,22.42610972,5.833940084,KidneyBeans
19,78,16,23.10538637,5.967533236,KidneyBeans
19,65,25,18.29318436,5.625096446,KidneyBeans
22,70,19,21.07643273,5.515615023,KidneyBeans
37,64,22,18.8251973,5.954665349,KidneyBeans
11,71,17,21.47324158,5.74644777,KidneyBeans
18,79,20,23.2353604,5.877347515,KidneyBeans
21,63,17,19.2303162,5.979973965,KidneyBeans
24,80,22,19.17651433,5.635993966,KidneyBeans
34,60,22,18.15302753,5.635231778,KidneyBeans
16,75,21,23.61670065,5.679224346,KidneyBeans
17,77,23,20.81527638,5.670062975,KidneyBeans
37,72,18,24.54038287,5.724242065,KidneyBeans
40,73,20,20.31871249,5.811314232,KidneyBeans
9,77,17,24.45202552,5.783425416,KidneyBeans
1,62,23,18.37477907,5.607808432,KidneyBeans
33,59,22,21.59396123,5.946999529,KidneyBeans
23,59,19,24.87304788,5.852046999,KidneyBeans
6,62,22,18.09224048,5.824090984,KidneyBeans
25,63,20,21.14544088,5.502999119,KidneyBeans
7,79,23,19.68751084,5.821649914,KidneyBeans
8,72,17,19.7520218,5.711439256,KidneyBeans
27,64,15,24.84207559,5.514927264,KidneyBeans
28,66,23,24.25386207,5.99616119,KidneyBeans
32,57,18,23.75560241,5.695422863,KidneyBeans
27,56,22,20.70099804,5.833010958,KidneyBeans
17,77,24,18.93146941,5.568456899,KidneyBeans
0,65,15,23.22197648,5.645435626,KidneyBeans
13,72,21,21.0278674,5.821194486,KidneyBeans
34,60,23,24.96969858,5.659254981,KidneyBeans
9,80,19,18.57086554,5.945465949,KidneyBeans
11,72,20,24.92607153,5.951177452,KidneyBeans
3,67,24,19.90790546,5.520880014,KidneyBeans
35,69,23,24.96881755,5.578410206,KidneyBeans
3,77,25,22.89464642,5.608165195,KidneyBeans
23,62,19,20.4555596,5.609435128,KidneyBeans
22,71,17,19.38602098,5.509295379,KidneyBeans
31,79,25,22.3104551,5.902033406,KidneyBeans
34,59,18,21.98879437,5.744117663,KidneyBeans
12,63,17,19.37703396,5.717143397,KidneyBeans
27,56,20,20.51346956,5.542690119,KidneyBeans
7,63,24,24.03553105,5.858617867,KidneyBeans
24,67,22,22.89845607,5.618844277,KidneyBeans
11,71,24,22.7182355,5.606620346,KidneyBeans
37,74,15,18.22590825,5.582178402,KidneyBeans
25,76,24,24.91506728,5.56503533,KidneyBeans
34,66,17,21.27833035,5.889614577,KidneyBeans
20,69,15,22.77255917,5.934136378,KidneyBeans
37,65,16,18.97267518,5.683548308,KidneyBeans
18,74,15,22.27512704,5.70836603,KidneyBeans
4,67,25,24.35679348,5.948164454,KidneyBeans
37,56,25,19.60379304,5.774755144,KidneyBeans
5,59,15,20.18238348,5.97229163,KidneyBeans
11,61,21,23.02410338,5.532100554,KidneyBeans
22,80,20,18.86880997,5.669560726,KidneyBeans
12,61,19,24.13995025,5.655726817,KidneyBeans
5,74,21,21.35793891,5.591704014,KidneyBeans
27,69,22,24.90814655,5.932323085,KidneyBeans
31,75,18,21.43780702,5.824208309,KidneyBeans
36,68,20,23.77201471,5.86442953,KidneyBeans
5,65,16,18.48522915,5.866744372,KidneyBeans
32,79,15,20.74619325,5.706198621,KidneyBeans
11,78,22,22.74378977,5.940546818,KidneyBeans
0,55,22,20.57940608,5.916779289,KidneyBeans
14,59,15,22.91244883,5.779090476,KidneyBeans
29,68,23,19.27907819,5.82738029,KidneyBeans
32,68,19,18.18325169,5.514234138,KidneyBeans
17,64,17,24.93896255,5.662699104,KidneyBeans
13,69,19,20.01730914,5.86390397,KidneyBeans
14,67,22,24.75485098,5.624690248,KidneyBeans
9,69,20,23.96362799,5.591560999,KidneyBeans
20,73,22,22.33195853,5.976312538,KidneyBeans
40,78,20,20.83398341,5.669236258,KidneyBeans
27,72,23,21.79992115,5.961934481,KidneyBeans
14,67,15,24.67385131,5.690065688,KidneyBeans
7,56,18,24.32991649,5.698371311,KidneyBeans
27,65,18,23.22323766,5.59503163,KidneyBeans
30,63,16,21.90539577,5.525904526,KidneyBeans
37,70,25,24.89487354,5.819403771,KidneyBeans
27,63,19,21.1893007,5.562201934,KidneyBeans
22,60,24,20.24768314,5.630664753,KidneyBeans
3,72,24,57.92887167,6.03160778,PigeonPeas
40,59,23,62.73178224,5.269084669,PigeonPeas
33,73,23,59.38967583,5.985792703,PigeonPeas
27,57,24,43.35795962,6.09186275,PigeonPeas
